game,category
Operation 7,"['FPS', 'Shooter']"
Cookie Run: OvenBreak,['Platformer']
Pathfinder,['NONE']
Assassin's Creed IV: Black Flag,"['Platformer', 'Action']"
City of Heroes,['MMORPG']
The Dark Pictures Anthology: Man of Medan,"['Adventure Game', 'Horror']"
Awesomenauts,"['Platformer', 'MOBA']"
Xenoblade Chronicles 2,"['RPG', 'Action']"
Banjo-Tooie,"['Action', 'Platformer']"
Point Blank,"['Shooter', 'FPS']"
Jak and Daxter: The Precursor Legacy,"['Platformer', 'Open World']"
Shovel Knight,"['Platformer', 'Action']"
Gang Beasts,"['Action', 'Indie Game']"
Habbo Hotel,"['Simulation', 'MMORPG']"
surviv.io,"['MOBA', 'Action']"
Arizona Sunshine,"['FPS', 'Shooter', 'Horror']"
CJ: Elephant Fugitive,['Platformer']
Naruto to Boruto: Shinobi Striker,['Fighting']
For the King,"['Strategy', 'RPG']"
Perfect World,"['RPG', 'MMORPG']"
Biped,"['Action', 'Adventure Game']"
Europa Universalis IV,['Strategy']
Middle-earth: Shadow of War,"['Action', 'Stealth']"
Sherlock Holmes: The Devil's Daughter,"['Action', 'Adventure Game']"
Dragon Age: Origins,"['RPG', 'Open World']"
Beauty & Body Art,"['Creative', 'IRL']"
Ultimate Chicken Horse,"['Platformer', 'Indie Game']"
Blur,['Sports Game']
Kingdom Come: Deliverance,"['RPG', 'Action']"
Model Builder,['NONE']
Use Your Words,['Compilation']
Graveyard Keeper,"['Adventure Game', 'RPG']"
X-Plane 11,['Simulation']
Half-Life,"['FPS', 'Shooter', 'Horror']"
Dragon Quest XI,['RPG']
World of Warships: Legends,"['MMORPG', 'RPG']"
Resident Evil 6,"['Action', 'Shooter']"
SOMA,"['Adventure Game', 'Horror']"
Command & Conquer: Rivals,"['Strategy', 'Mobile Game']"
Total War: Three Kingdoms,['Strategy']
Etterna,['Rhythm & Music Game']
Kerbal Space Program,['Flight Simulator']
Entropia Universe,"['MMORPG', 'FPS']"
Castle Crashers,"['Action', 'Indie Game']"
Mario Party 4,['Compilation']
Astral Chain,['Action']
"Pokemon: Let's Go, Pikachu!/Eevee!",['RPG']
Layers of Fear,"['Adventure Game', 'Horror']"
Majotori,['Adventure Game']
Metal Gear Solid V: The Phantom Pain,"['Shooter', 'Action']"
Ultra Street Fighter IV,['Fighting']
Emily Wants to Play,"['Action', 'Horror']"
Business Tour,['RTS']
Yume Nikki: Dream Diary,"['Horror', 'Adventure Game']"
A Dance of Fire and Ice,['Puzzle']
Dino Crisis,"['Action', 'Horror']"
Super Mario Kart,['Driving/Racing Game']
Final Fantasy: Brave Exvius,"['RPG', 'Mobile Game']"
Broken Picturephone,['NONE']
Puzzle Pirates,"['RPG', 'MMORPG']"
Super Mario RPG: Legend of the Seven Stars,"['Adventure Game', 'RPG']"
Mad Max,['Driving/Racing Game']
Skyrim: Very Special Edition,['RPG']
Dragon Age: Inquisition,"['Action', 'RPG']"
Star Trek Online,"['Strategy', 'MMORPG']"
Rivals of Aether,['Fighting']
Pokémon Yellow: Special Pikachu Edition,['RPG']
Blackwake,"['Action', 'FPS', 'Shooter']"
Metroid Prime 2: Echoes,"['Action', 'Adventure Game']"
ActRaiser,"['Action', 'Simulation']"
Drakensang Online,['MMORPG']
The Hunter,"['Simulation', 'FPS']"
Castlevania,"['Horror', 'Action']"
Prison Architect,"['Strategy', 'Simulation']"
Spyro the Dragon,"['Action', 'Adventure Game']"
Soul Worker,"['MMORPG', 'Action']"
PearsAndGrayWitch,['NONE']
Clustertruck,"['Platformer', 'Indie Game']"
F-Zero GX,['Driving/Racing Game']
Guild Wars,"['Action', 'Strategy']"
Animal Crossing,"['Simulation', 'Open World']"
Call of Duty: Modern Warfare 3,"['FPS', 'Shooter']"
Phantasy Star Online Episode I & II,['MMORPG']
The Elder Scrolls: Legends,['Card & Board Game']
DragonBall Xenoverse 2,"['Simulation', 'Fighting']"
Close to the Sun,"['Horror', 'Indie Game']"
DJ Hero,['Rhythm & Music Game']
Marvel Contest of Champions,"['Fighting', 'Mobile Game']"
Don't Starve,"['Simulation', 'Roguelike']"
The Walking Dead,"['Action', 'FPS', 'Shooter']"
Beer Trivia,['Card & Board Game']
Club Penguin,"['MMORPG', 'Platformer']"
Creative Destruction,"['Action', 'Shooter']"
Sayonara Wild Hearts,['Rhythm & Music Game']
The Witcher 2: Assassins of Kings,['RPG']
Insurgency: Sandstorm,"['Action', 'Shooter']"
H1Z1,"['Shooter', 'Horror']"
The Wolf Among Us,['Adventure Game']
Street Fighter III: 3rd Strike,['Fighting']
Fragsurf,"['FPS', 'Shooter']"
Life Is Strange: Before the Storm,['Adventure Game']
Cooking Simulator,['Simulation']
Far Cry: Primal,"['Action', 'Open World']"
Ratchet & Clank: Going Commando,"['Shooter', 'Platformer']"
Jak X: Combat Racing,['Action']
FIFA 19,['Sports Game']
Ring Of Elysium,['Shooter']
Pokémon Super Mystery Dungeon,['RPG']
Yu-Gi-Oh! Legacy of the Duelist Link Evolution,['Strategy']
Metal Gear Solid 2: Substance,"['Sports Game', 'Action']"
Streets of Rage 2,['Action']
Vainglory,"['MOBA', 'Mobile Game']"
Age of Empires II,"['Strategy', 'RTS']"
Smush.TV,['Puzzle']
Grand Theft Auto: Vice City,['RPG']
Plague Inc: Evolved,"['Strategy', 'Simulation']"
Fallout 3,"['RPG', 'FPS', 'Shooter']"
Watch Dogs,['Action']
Lost Ember,['Adventure Game']
Kirby Super Star,"['Action', 'Platformer']"
Sketchful.io,['NONE']
The Convenience Store,"['Adventure Game', 'Horror']"
Mario + Rabbids Kingdom Battle,"['Strategy', 'RPG']"
Keep Talking and Nobody Explodes,"['Puzzle', 'Simulation']"
Yakuza 4,"['Action', 'RPG']"
Secret of Mana,"['RPG', 'Action']"
Batman: Arkham Asylum,"['Action', 'Open World']"
Muse Dash,['Rhythm & Music Game']
Anthem,"['Action', 'RPG']"
The Elder Scrolls IV: Oblivion,"['RPG', 'Action', 'Stealth']"
Crossout,['NONE']
Call of Duty: Ghosts,"['FPS', 'Shooter']"
Left 4 Dead,"['Action', 'FPS', 'Shooter']"
Prime World,"['Action', 'Strategy']"
Counter-Strike: Source,"['Action', 'Shooter', 'FPS']"
Assassin's Creed Syndicate,"['Action', 'Adventure Game']"
Guitar Hero,['Rhythm & Music Game']
CryoFall,"['Simulation', 'Survival']"
Super Seducer,['Simulation']
Collection of Mana,"['RPG', 'Compilation']"
Thief Simulator,['Adventure Game']
Last Day of June,"['Adventure Game', 'Puzzle']"
Clone Drone in the Danger Zone,"['Action', 'Simulation']"
Miscreated,"['Action', 'Simulation']"
The Legend of Zelda: Skyward Sword,"['Action', 'Open World']"
Need for Speed: Hot Pursuit,['Driving/Racing Game']
Skullgirls,"['Fighting', 'Horror']"
Pokémon Ultra Sun/Ultra Moon,['RPG']
Vampyr,"['RPG', 'Horror', 'Action']"
Two Point Hospital,['Simulation']
Zoo Tycoon: Ultimate Animal Collection,['Simulation']
Unturned,"['RPG', 'FPS', 'Shooter']"
Gone Home,['Adventure Game']
BattleTech,"['RPG', 'Strategy']"
New Super Mario Bros. Wii,['Platformer']
Marvel vs. Capcom 2: New Age of Heroes,['Fighting']
Card Games,['Simulation']
GoldenEye 007,"['FPS', 'Shooter']"
Assassin's Creed Unity,"['Action', 'Open World']"
Shining Force III Scenario 2,['RPG']
GRIS,"['Puzzle', 'Platformer']"
Starbound,"['Action', 'Platformer']"
Ark: Survival Of The Fittest,['Action']
Shroud of the Avatar: Forsaken Virtues,['RPG']
Divinity: Original Sin,"['RPG', 'Stealth']"
Job Simulator: The 2050 Archives,['Compilation']
Five Nights at Freddy's 4: The Final Chapter,"['Adventure Game', 'Horror']"
Majsoul,['Card & Board Game']
KurtzPel,"['Action', 'Fighting']"
King's Raid,"['Action', 'Strategy']"
MisBits,['Action']
Exanima,"['RPG', 'Simulation']"
South Park: Phone Destroyer,['Card & Board Game']
Krunker.io,['NONE']
NBA 2K17,['Sports Game']
The Stanley Parable,['NONE']
Atlantica Online,['Strategy']
X4: Foundations,['Simulation']
Paper Mario: The Thousand-Year Door,['RPG']
Golden Sun: The Lost Age,['RPG']
Skul: The Hero Slayer,"['Roguelike', 'Platformer']"
Torchlight II,"['Action', 'RPG']"
Revn,['NONE']
Catherine: Full Body,"['Puzzle', 'Action']"
Mythgard,['Strategy']
ChronoArk,"['Adventure Game', 'RPG']"
Babyz: Your Virtual Bundle of Joy,['Simulation']
Lovers in a Dangerous Spacetime,['Indie Game']
Pirates Outlaws,['Card & Board Game']
Dead Rising 2: Off the Record,"['Action', 'Horror']"
Resident Evil: Operation Raccoon City,"['Shooter', 'Horror']"
Metroid Prime,"['FPS', 'Shooter']"
MiniRoyale,"['Fighting', 'Shooter']"
Little Nightmares,"['Puzzle', 'Platformer']"
Wolfenstein II: The New Colossus,"['FPS', 'Shooter']"
Limbo,"['Puzzle', 'Platformer']"
MX Simulator,['NONE']
Pac-Man,['NONE']
Lucy Got Problems,['NONE']
Hob,"['Action', 'Adventure Game']"
Metal Gear Solid,"['Action', 'Strategy']"
Half-Life 2,"['FPS', 'Shooter', 'Horror']"
The Cycle,"['Action', 'Shooter', 'FPS']"
Jurassic World Evolution,"['Strategy', 'Simulation']"
Momodora: Reverie Under the Moonlight,"['Platformer', 'Metroidvania']"
Hell Let Loose,['Driving/Racing Game']
Puzzle & Dragons,"['RPG', 'Puzzle']"
Archeage Unchained,"['RPG', 'MMORPG']"
Resident Evil: Code: Veronica X,"['Action', 'Horror']"
Assassin's Creed Origins,"['Action', 'Stealth']"
Fibbage,['Card & Board Game']
Final Fantasy XII: The Zodiac Age,['RPG']
Mega Man 11,['Platformer']
Mario Party 3,['Compilation']
Mysterium,"['Strategy', 'RPG']"
Battlefield 3,"['Action', 'FPS', 'Shooter']"
The Legend of Zelda: The Wind Waker HD,"['Action', 'Open World']"
Dawn of Man,"['Strategy', 'Simulation']"
Dungeon Defenders: Awakened,"['Strategy', 'Action']"
Tekken 3,['Fighting']
Guns of Boom,"['FPS', 'Shooter']"
Sonic Rush,"['Action', 'Platformer']"
Among Us,['NONE']
Dishonored,"['RPG', 'FPS', 'Shooter']"
AI: The Somnium Files,['Adventure Game']
JSRF: Jet Set Radio Future,"['Action', 'Sports Game']"
Resident Evil 3: Nemesis,"['Action', 'Horror']"
Don't Even Think,"['Strategy', 'Shooter']"
Journey to the Savage Planet,"['FPS', 'Shooter', 'Action']"
Katamari Damacy,"['Action', 'Puzzle']"
Digimon Masters,"['RPG', 'MMORPG']"
Transport Fever 2,"['Strategy', 'Simulation']"
Spelunky,"['Puzzle', 'Platformer']"
Project CARS 2,['Driving/Racing Game']
Call of Duty: World at War,"['Action', 'FPS', 'Shooter']"
Mega Man Battle Network,"['Action', 'Adventure Game']"
Dead by Daylight Mobile,['NONE']
Metal Slug 3,"['Shooter', 'Action']"
Synth Riders,['Rhythm & Music Game']
Outward,"['RPG', 'Indie Game']"
Bloodborne: The Old Hunters,['NONE']
Lobotomy Corporation | Monster Management Simulation,"['Simulation', 'Horror']"
Dissidia: Final Fantasy Opera Omnia,"['RPG', 'Mobile Game']"
Crowfall,['MMORPG']
Portal,"['Puzzle', 'Platformer']"
Final Fantasy VI,"['RPG', 'Open World']"
Sword Art Online: Fatal Bullet,"['Action', 'RPG']"
Tales of Vesperia,"['RPG', 'Action']"
Welcome to the Game II,['Adventure Game']
Police Simulator: Patrol Duty,['Simulation']
Total War: Rome II,"['Strategy', 'RTS']"
Yakuza 5,"['RPG', 'Simulation']"
The Evil Within 2,"['Shooter', 'Horror']"
Moons of Madness,"['Horror', 'Adventure Game']"
Fushigi no Dungeon: Furai no Shiren Gaiden: Jokenji Asuka Kenzan!,['RPG']
Mount Your Friends,['Sports Game']
Roll20 Virtual Tabletop,['NONE']
Halo: Reach,"['FPS', 'Action', 'Shooter']"
Crusader Kings II,"['Strategy', 'Simulation']"
KKuTu Korea,['NONE']
Onrush,['Driving/Racing Game']
Dragon Ball Legends,"['Action', 'MMORPG']"
DJMAX Respect,['Rhythm & Music Game']
The Letter,"['Horror', 'Adventure Game']"
Final Fantasy: Record Keeper,"['RPG', 'Mobile Game']"
Command & Conquer,['RTS']
BeamNG.Drive,['Driving/Racing Game']
Rec Room,['Sports Game']
Prey,"['FPS', 'Shooter', 'Action']"
One Piece Bounty Rush,"['Action', 'Fighting']"
Lineage 2: Revolution,"['MMORPG', 'Mobile Game']"
Zwift,"['Sports Game', 'Simulation']"
Vinyl,['NONE']
Pokémon X/Y,['RPG']
Mirror's Edge,"['Action', 'Platformer']"
Donkey Kong Country 2: Diddy's Kong Quest,"['Action', 'Platformer']"
FIFA Mobile,['NONE']
Bleach Brave Souls,"['Action', 'Mobile Game']"
Space Hulk: Deathwing,"['FPS', 'Shooter']"
X-COM: UFO Defense,"['Strategy', 'Horror']"
Company of Heroes: Tales of Valor,"['Action', 'Strategy']"
Party Crashers,['Action']
Halo: Combat Evolved,"['FPS', 'Shooter']"
Dungeon Crawl Stone Soup,"['RPG', 'Roguelike']"
Stream Animals,['NONE']
Fire Pro Wrestling World,['Sports Game']
GTA Online,['NONE']
Wandersong,['Adventure Game']
Batman: Arkham City,"['Action', 'Open World']"
Empyrion: Galactic Survival,['Strategy']
Chronicle: Unit Eight,['NONE']
Meeple Station,['NONE']
Metal Gear Solid: The Twin Snakes,"['Action', 'Stealth']"
Yu-Gi-Oh! Legacy of the Duelist,['Strategy']
Tierras del Sur,['MMORPG']
Darkwood,"['Action', 'Horror']"
Deltarune,['RPG']
DreadOut,"['Adventure Game', 'Horror']"
The Talos Principle,"['Adventure Game', 'Puzzle']"
Sly 2: Band of Thieves,"['Platformer', 'Action']"
Movie Challenge,['Card & Board Game']
Heavy Rain,"['Adventure Game', 'Action']"
Fran Bow,"['Adventure Game', 'Horror']"
Environmental Station Alpha,"['Action', 'Metroidvania']"
Avorion,"['Action', 'Adventure Game']"
Hanging With Friends,"['Strategy', 'Puzzle']"
Super Animal Royale,['Shooter']
Stick Fight: The Game,"['Action', 'Fighting']"
Assassin's Creed: Revelations,"['Action', 'Open World']"
Assetto Corsa Competizione,['Driving/Racing Game']
Hand Simulator: Survival,"['Action', 'Simulation']"
Rubik's Cube,"['Strategy', 'Simulation']"
RISK: Global Domination,['Strategy']
Spyro 2: Ripto's Rage,"['Action', 'Adventure Game']"
Boneworks,"['FPS', 'Shooter']"
Dungeons & Dragons Online,"['RPG', 'MMORPG']"
Skate 3,['Sports Game']
60 Seconds!,['Simulation']
My Friend Pedro,['Action']
Heroes & Generals,"['FPS', 'Shooter']"
Melty Blood: Actress Again,"['Fighting', 'Horror']"
Secret Neighbor,"['Indie Game', 'Action']"
Star Fox Adventures,"['Shooter', 'Flight Simulator']"
Star Wars: Knights of the Old Republic II - The Sith Lords,"['RPG', 'Open World']"
Beyond Oasis,"['Action', 'Adventure Game']"
Star Wars: Galaxies - An Empire Divided,['MMORPG']
We Went Back,"['Puzzle', 'Horror']"
Memoria,['Adventure Game']
Them's Fightin' Herds,['Fighting']
I Want My Mommy,['Action']
Call of Duty,"['FPS', 'Shooter']"
Atelier Sophie: The Alchemist of the Mysterious Book,['RPG']
Genesis Alpha One,"['Shooter', 'Indie Game']"
Growtopia,['Adventure Game']
Kirby's Adventure,"['Platformer', 'Action']"
Dicey Dungeons,['RPG']
SpeedRunners,['Platformer']
The Legend of Zelda: The Wind Waker,"['Action', 'Adventure Game']"
Shenmue III,"['RPG', 'Action']"
Punch Club,"['Simulation', 'Indie Game']"
Monstrum,"['Horror', 'Roguelike']"
ReCore,"['Action', 'Adventure Game']"
theFisher Online,['NONE']
Age of Empires: Definitive Edition,['Strategy']
Dreadnought,"['Action', 'MMORPG']"
Power Rangers: Battle for the Grid,['Fighting']
I Wanna Maker,['Platformer']
HITMAN,['NONE']
Mount & Blade: Warband,"['Action', 'Strategy']"
Evoland 2: A Slight Case of Spacetime Continuum Disorder,['Platformer']
The Legend of Heroes: Trails of Cold Steel III,['NONE']
Kids Learn Math,['Educational Game']
Earth Defense Forces 5,['Shooter']
ESP Ra.De.,"[""Shoot 'Em Up""]"
Pikmin 2,"['Action', 'Strategy']"
Emily Wants to Play Too,['NONE']
Rise of Kingdoms,"['RTS', 'Mobile Game']"
Ni no Kuni II: Revenant Kingdom,"['RPG', 'Action']"
Eternal Darkness: Sanity's Requiem,"['Action', 'Horror']"
The Universim,['Simulation']
Dead or Alive 6,['Fighting']
Monster Rancher 3,"['Strategy', 'Simulation']"
SEGA Mega Drive & Genesis Classics,['Compilation']
Captain Tsubasa: Dream Team,['Sports Game']
Watch Dogs 2,"['Shooter', 'Action']"
Mass Effect: Andromeda,"['RPG', 'Action']"
100% Orange Juice,['Strategy']
This War of Mine,['Strategy']
Tales of Berseria,"['Action', 'RPG']"
198X,['Action']
Pillars of Eternity II: Deadfire,['RPG']
Mario Party 6,"['Action', 'Strategy']"
Poly Bridge,"['Simulation', 'Puzzle']"
Generation Zero,"['FPS', 'Shooter', 'Action']"
Realm,"['Shooter', 'Platformer']"
